Name,Sentence,Sentence_Category,Compound_Score,Sentiment_Result
University of Malaya Medical Centre,admitted emergency ward,Hospital,-0.296,Neutral
University of Malaya Medical Centre,"staff friendly & helpful, aside transferred different ward multiple times, helped, wa given top-quality care",Hospital,0.8481,Positive
University of Malaya Medical Centre,maintenance toilet could improved though,Hospital,0.4767,Positive
University of Malaya Medical Centre,"thought public hospital inferior private one safely say ummc's case so, least experience",Hospital,0.128,Neutral
University of Malaya Medical Centre,dr rajwin frm public health department helpful friendly,Doctor,0.7184,Positive
University of Malaya Medical Centre,"happy went hospital today doctor nice friendly best hospital far malaysia, continue using bcos feel better now, god bless doctor keep safe, enjoy emergency treatment yesterday best  one pj",Doctor,0.9825,Positive
University of Malaya Medical Centre,fresh squeezed orange juice menara selatan & emergency,Hospital,-0.0772,Neutral
University of Malaya Medical Centre,rm6 per cup 4-5 orange,Hospital,0.0,Neutral
University of Malaya Medical Centre,good hospital,Hospital,0.4404,Positive
University of Malaya Medical Centre,price reasonable,Hospital,0.0,Neutral
University of Malaya Medical Centre,"pandemic time certain thing need patient know appointment time follow simple step requirement order make smooth journey,, adhere safety others around",Hospital,0.5994,Positive
University of Malaya Medical Centre,i've ppum ha produced many good psychiatrist,Hospital,0.6486,Positive
University of Malaya Medical Centre,university malaya train medical student practice learn job hospital complex officially called ppum,Hospital,0.0,Neutral
University of Malaya Medical Centre,kind doctor nurse,Doctor,0.5267,Positive
University of Malaya Medical Centre,"like crazy dorang service, staff & doctor psychology clinic, like crazy",Doctor,0.0516,Neutral
University of Malaya Medical Centre,"5 star anymore, thousand star hahahaha, plaque vaccine place awesome, drg service, feel like i'm treated like princess i'm talking patient, i'm talking long time, hahaha, met today, love",Doctor,0.9509,Positive
University of Malaya Medical Centre,deliver baby 07 july 2021 @ 0726hrs,Hospital,0.0,Neutral
University of Malaya Medical Centre,thanks doctor & nurse  great service,Doctor,0.7906,Positive
University of Malaya Medical Centre,transfusion centre blood bank,Hospital,0.0,Neutral
University of Malaya Medical Centre,"shown exemplary dedication care patient, really care tried best father wa warded stage 4 covid recovery",Hospital,0.8971,Positive
University of Malaya Medical Centre,brought son first time due emergency condition,Hospital,-0.3818,Negative
University of Malaya Medical Centre,"surprised learn ummc emergency pediatric department children, making unique hospital",Doctor,-0.1779,Neutral
University of Malaya Medical Centre,"parking wa convenient, behind emergency department",Hospital,-0.3818,Negative
University of Malaya Medical Centre,ample space charge reasonable rm2 per hour day,Hospital,0.0,Neutral
University of Malaya Medical Centre,"cafe canteen first floor clean provided variety food, including fruit snack",Hospital,0.4019,Positive
University of Malaya Medical Centre,reasonably tasty fair price,Hospital,0.3182,Positive
University of Malaya Medical Centre,comparatively better many government hospital,Hospital,0.4404,Positive
University of Malaya Medical Centre,"nurses doctor friendly, patient children, fast react",Doctor,0.4939,Positive
University of Malaya Medical Centre,"completed urine test, ultrasound x-ray son efficiently",Hospital,0.4019,Positive
University of Malaya Medical Centre,doctor gave explained prescription detail timely manner,Doctor,0.0,Neutral
University of Malaya Medical Centre,generally pleasant experience beyond would expected government hospital,Hospital,0.5106,Positive
University of Malaya Medical Centre,hospital actually quite old already well maintained constant refurbishment,Hospital,0.3321,Positive
University of Malaya Medical Centre,"personal observation, ha updated advanced facility medical equipment find private hospital also pay much lesser cost",Hospital,0.4588,Positive
University of Malaya Medical Centre,thank nurse amazing job going extra mile providing exceptional care,Hospital,0.8591,Positive
University of Malaya Medical Centre,'all nursing staff looked exceptional,Hospital,0.0,Neutral
University of Malaya Medical Centre,"looked literally every need, physical emotional",Hospital,0.1531,Neutral
University of Malaya Medical Centre,forget,Hospital,-0.2263,Neutral
University of Malaya Medical Centre,1,Hospital,0.0,Neutral
University of Malaya Medical Centre,doctor gave explanation clear,Doctor,0.3818,Positive
University of Malaya Medical Centre,probably take time patient explain make sure patient understand go back clear mind,Hospital,0.5994,Positive
University of Malaya Medical Centre,price affordable,Hospital,0.0,Neutral
University of Malaya Medical Centre,service excellent,Hospital,0.5719,Positive
University of Malaya Medical Centre,pandemic disaster centre,Hospital,-0.6249,Negative
University of Malaya Medical Centre,good service,Hospital,0.4404,Positive
University of Malaya Medical Centre,comfortable environment,Hospital,0.5106,Positive
University of Malaya Medical Centre,"good hospital, lot facility",Hospital,0.4404,Positive
University of Malaya Medical Centre,admit aunt 14,Hospital,0.2023,Neutral
University of Malaya Medical Centre,7,Hospital,0.0,Neutral
University of Malaya Medical Centre,"21, salute frotliners emergency ward 6u",Hospital,-0.3818,Negative
University of Malaya Medical Centre,thank heroic action saving life,Hospital,0.7269,Positive
University of Malaya Medical Centre,"love you, frontliners",Hospital,0.6369,Positive
University of Malaya Medical Centre,expressing gratitude appreciation nurse icu palliative unit taking care late mother year 2008,Hospital,0.8689,Positive
University of Malaya Medical Centre,wa diagnosed final stage colon cancer,Hospital,-0.6597,Negative
University of Malaya Medical Centre,"however, found young doctor in-experienced uncaring",Doctor,0.0,Neutral
University of Malaya Medical Centre,later found one young male doctor wa counselling late father (age 70+) wa accompanying late mother child around,Doctor,0.0,Neutral
University of Malaya Medical Centre,liaised another young lady doctor wa impatient could accept condition late mother,Doctor,0.1027,Neutral
University of Malaya Medical Centre,subject study experiment,Hospital,0.0,Neutral
University of Malaya Medical Centre,"please stop without getting consent family member especially adult children, patient aged parent",Doctor,-0.1446,Neutral
University of Malaya Medical Centre,"say, best doctor malaysia congregated",Doctor,0.6369,Positive
University of Malaya Medical Centre,true,Hospital,0.4215,Positive
University of Malaya Medical Centre,"however, hospital lack modernity term proper signage, proper walkable aisle overall ambience",Hospital,-0.3182,Negative
University of Malaya Medical Centre,staffs impatient,Hospital,-0.296,Neutral
University of Malaya Medical Centre,wanted get appointment see geriatrician,Hospital,0.0,Neutral
University of Malaya Medical Centre,came morning asked come afternoon,Hospital,0.0,Neutral
University of Malaya Medical Centre,reached clinic 2,Hospital,0.1027,Neutral
University of Malaya Medical Centre,50pm referral letter suppose read doctor decide date appointment,Doctor,0.0,Neutral
University of Malaya Medical Centre,"waited 1 hour, still waiting",Hospital,0.0,Neutral
University of Malaya Medical Centre,bad experience ppum emergency gynocologist,Hospital,-0.7269,Negative
University of Malaya Medical Centre,end last month went ppum excessive bleeding,Hospital,0.0,Neutral
University of Malaya Medical Centre,gynocologist checking wa passed emergency gynocologist,Hospital,-0.3818,Negative
University of Malaya Medical Centre,doctor wa going kill almost wa vagainal swab test,Doctor,-0.6908,Negative
University of Malaya Medical Centre,wa like vagainal baby delivery,Hospital,0.3612,Positive
University of Malaya Medical Centre,indian malaysian lady doctor open vagaina like easily baby come,Doctor,0.5994,Positive
University of Malaya Medical Centre,wa screaming around 1 hour,Hospital,-0.3818,Negative
University of Malaya Medical Centre,wa moving machine like heart beat stop,Hospital,0.0772,Neutral
University of Malaya Medical Centre,like swab test time,Hospital,0.3612,Positive
University of Malaya Medical Centre,experience,Hospital,0.0,Neutral
University of Malaya Medical Centre,3,Hospital,0.0,Neutral
University of Malaya Medical Centre,normal baby delivery,Hospital,0.0,Neutral
University of Malaya Medical Centre,better experience,Hospital,0.4404,Positive
University of Malaya Medical Centre,wa wa 1000% worse normal vaginal delivery,Hospital,-0.4767,Negative
University of Malaya Medical Centre,"wa taking instrument vagaina, almost take vagainal flesh",Hospital,0.0,Neutral
University of Malaya Medical Centre,never forget day stupid dr death,Doctor,-0.1174,Neutral
University of Malaya Medical Centre,forget name,Hospital,-0.2263,Neutral
University of Malaya Medical Centre,remember write name,Hospital,0.0,Neutral
University of Malaya Medical Centre,requesting ppum management please monitor issue patient,Hospital,0.3182,Positive
University of Malaya Medical Centre,thanks,Hospital,0.4404,Positive
University of Malaya Medical Centre,refund procedure reviewed,Hospital,0.0,Neutral
University of Malaya Medical Centre,"appointment cancelled within 7 days, customer ha come back week's time get refund",Hospital,0.1027,Neutral
University of Malaya Medical Centre,what's pressing refund window,Hospital,0.0,Neutral
University of Malaya Medical Centre,1) open 11am-4pm,Hospital,0.0,Neutral
University of Malaya Medical Centre,2) lunchtime closed= 1pm-2pm,Hospital,0.0,Neutral
University of Malaya Medical Centre,effectively 4 hour operation,Hospital,0.4404,Positive
University of Malaya Medical Centre,can't open 8am 4pm,Hospital,0.0,Neutral
University of Malaya Medical Centre,can't 4 counter staff staggered lunch service throughout day,Hospital,0.0,Neutral
University of Malaya Medical Centre,"go ophthalmology clinic 9 am, see doctor 2 am, patient",Doctor,0.0,Neutral
University of Malaya Medical Centre,least allow people feed patient waiting room,Hospital,-0.1695,Neutral
University of Malaya Medical Centre,came 6pm still awaiting room,Hospital,0.0,Neutral
University of Malaya Medical Centre,sure take time room,Hospital,0.3182,Positive
University of Malaya Medical Centre,understand sop covid-19 granny weak n eat,Hospital,-0.4404,Negative
University of Malaya Medical Centre,guard allow u bring food,Hospital,0.2263,Neutral
University of Malaya Medical Centre,said wait doctor called,Doctor,0.0,Neutral
University of Malaya Medical Centre,"seriously doctor going come 2pm, that's long granny would stay put without eating",Doctor,-0.1779,Neutral
University of Malaya Medical Centre,waited room 13 hour still waiting,Hospital,0.0,Neutral
University of Malaya Medical Centre,"doctor okay, nurse too, wait time terribly long",Doctor,-0.4019,Negative
