Name,Word,Frequency,Word_Compound_Score,Word_Sentiment_Result
University of Malaya Medical Centre,patient,31,0.0,Neutral
University of Malaya Medical Centre,doctor,30,0.0,Neutral
University of Malaya Medical Centre,wa,26,0.0,Neutral
University of Malaya Medical Centre,hospital,18,0.0,Neutral
University of Malaya Medical Centre,time,15,0.0,Neutral
University of Malaya Medical Centre,emergency,14,-0.3818,Negative
University of Malaya Medical Centre,like,13,0.3612,Positive
University of Malaya Medical Centre,nurse,13,0.0,Neutral
University of Malaya Medical Centre,ppum,13,0.0,Neutral
University of Malaya Medical Centre,staff,12,0.0,Neutral
University of Malaya Medical Centre,u,12,0.0,Neutral
University of Malaya Medical Centre,hour,11,0.0,Neutral
University of Malaya Medical Centre,service,11,0.0,Neutral
University of Malaya Medical Centre,come,10,0.0,Neutral
University of Malaya Medical Centre,one,10,0.0,Neutral
University of Malaya Medical Centre,ask,9,0.0,Neutral
University of Malaya Medical Centre,ward,9,0.0,Neutral
University of Malaya Medical Centre,also,8,0.0,Neutral
University of Malaya Medical Centre,care,8,0.4939,Positive
University of Malaya Medical Centre,father,8,0.0,Neutral
University of Malaya Medical Centre,go,8,0.0,Neutral
University of Malaya Medical Centre,need,8,0.0,Neutral
University of Malaya Medical Centre,take,8,0.0,Neutral
University of Malaya Medical Centre,asked,7,0.0,Neutral
University of Malaya Medical Centre,ha,7,0.34,Positive
University of Malaya Medical Centre,know,7,0.0,Neutral
University of Malaya Medical Centre,room,7,0.0,Neutral
University of Malaya Medical Centre,around,6,0.0,Neutral
University of Malaya Medical Centre,bad,6,-0.5423,Negative
University of Malaya Medical Centre,life,6,0.0,Neutral
University of Malaya Medical Centre,medical,6,0.0,Neutral
University of Malaya Medical Centre,please,6,0.3182,Positive
University of Malaya Medical Centre,rude,6,-0.4588,Negative
University of Malaya Medical Centre,wait,6,0.0,Neutral
University of Malaya Medical Centre,1,5,0.0,Neutral
University of Malaya Medical Centre,2,5,0.0,Neutral
University of Malaya Medical Centre,better,5,0.4404,Positive
University of Malaya Medical Centre,came,5,0.0,Neutral
University of Malaya Medical Centre,counter,5,0.0,Neutral
University of Malaya Medical Centre,experience,5,0.0,Neutral
University of Malaya Medical Centre,get,5,0.0,Neutral
University of Malaya Medical Centre,given,5,0.0,Neutral
University of Malaya Medical Centre,late,5,0.0,Neutral
University of Malaya Medical Centre,see,5,0.0,Neutral
University of Malaya Medical Centre,status,5,0.0,Neutral
University of Malaya Medical Centre,still,5,0.0,Neutral
University of Malaya Medical Centre,talk,5,0.0,Neutral
University of Malaya Medical Centre,ur,5,0.0,Neutral
University of Malaya Medical Centre,&,4,0.0,Neutral
University of Malaya Medical Centre,appointment,4,0.0,Neutral
University of Malaya Medical Centre,baby,4,0.0,Neutral
University of Malaya Medical Centre,best,4,0.6369,Positive
University of Malaya Medical Centre,bp,4,0.0,Neutral
University of Malaya Medical Centre,could,4,0.0,Neutral
University of Malaya Medical Centre,day,4,0.0,Neutral
University of Malaya Medical Centre,department,4,0.0,Neutral
University of Malaya Medical Centre,doc,4,0.0,Neutral
University of Malaya Medical Centre,due,4,0.0,Neutral
University of Malaya Medical Centre,even,4,0.0,Neutral
University of Malaya Medical Centre,food,4,0.0,Neutral
University of Malaya Medical Centre,friendly,4,0.4939,Positive
University of Malaya Medical Centre,going,4,0.0,Neutral
University of Malaya Medical Centre,good,4,0.4404,Positive
University of Malaya Medical Centre,i'm,4,0.0,Neutral
University of Malaya Medical Centre,make,4,0.0,Neutral
University of Malaya Medical Centre,many,4,0.0,Neutral
University of Malaya Medical Centre,n,4,0.0,Neutral
University of Malaya Medical Centre,problem,4,-0.4019,Negative
University of Malaya Medical Centre,really,4,0.0,Neutral
University of Malaya Medical Centre,response,4,0.0,Neutral
University of Malaya Medical Centre,shame,4,-0.4767,Negative
University of Malaya Medical Centre,simple,4,0.0,Neutral
University of Malaya Medical Centre,test,4,0.0,Neutral
University of Malaya Medical Centre,think,4,0.0,Neutral
University of Malaya Medical Centre,waiting,4,0.0,Neutral
University of Malaya Medical Centre,want,4,0.0772,Neutral
University of Malaya Medical Centre,went,4,0.0,Neutral
University of Malaya Medical Centre,would,4,0.0,Neutral
University of Malaya Medical Centre,11,3,0.0,Neutral
University of Malaya Medical Centre,4,3,0.0,Neutral
University of Malaya Medical Centre,7:30am,3,0.0,Neutral
University of Malaya Medical Centre,admit,3,0.2023,Neutral
University of Malaya Medical Centre,answered,3,0.0,Neutral
University of Malaya Medical Centre,asking,3,0.0,Neutral
University of Malaya Medical Centre,avoid,3,-0.296,Neutral
University of Malaya Medical Centre,back,3,0.0,Neutral
University of Malaya Medical Centre,bed,3,0.0,Neutral
University of Malaya Medical Centre,call,3,0.0,Neutral
University of Malaya Medical Centre,called,3,0.0,Neutral
University of Malaya Medical Centre,can't,3,0.0,Neutral
University of Malaya Medical Centre,centre,3,0.0,Neutral
University of Malaya Medical Centre,change,3,0.0,Neutral
University of Malaya Medical Centre,children,3,0.0,Neutral
University of Malaya Medical Centre,clinic,3,0.0,Neutral
University of Malaya Medical Centre,concern,3,0.0,Neutral
University of Malaya Medical Centre,covid,3,0.0,Neutral
University of Malaya Medical Centre,cramp,3,-0.2023,Neutral
University of Malaya Medical Centre,delivery,3,0.0,Neutral
University of Malaya Medical Centre,every,3,0.0,Neutral
University of Malaya Medical Centre,facility,3,0.0,Neutral
University of Malaya Medical Centre,feel,3,0.0,Neutral
University of Malaya Medical Centre,first,3,0.0,Neutral
University of Malaya Medical Centre,forget,3,-0.2263,Neutral
University of Malaya Medical Centre,government,3,0.0,Neutral
University of Malaya Medical Centre,gynocologist,3,0.0,Neutral
University of Malaya Medical Centre,health,3,0.0,Neutral
University of Malaya Medical Centre,instead,3,0.0,Neutral
University of Malaya Medical Centre,long,3,0.0,Neutral
University of Malaya Medical Centre,love,3,0.6369,Positive
University of Malaya Medical Centre,malaysia,3,0.0,Neutral
University of Malaya Medical Centre,money,3,0.0,Neutral
University of Malaya Medical Centre,mother,3,0.0,Neutral
University of Malaya Medical Centre,never,3,0.0,Neutral
University of Malaya Medical Centre,nothing,3,0.0,Neutral
University of Malaya Medical Centre,open,3,0.0,Neutral
University of Malaya Medical Centre,pain,3,-0.5106,Negative
University of Malaya Medical Centre,parent,3,0.0,Neutral
University of Malaya Medical Centre,people,3,0.0,Neutral
University of Malaya Medical Centre,price,3,0.0,Neutral
University of Malaya Medical Centre,private,3,0.0,Neutral
University of Malaya Medical Centre,proper,3,0.0,Neutral
University of Malaya Medical Centre,reason,3,0.0,Neutral
University of Malaya Medical Centre,refund,3,0.0,Neutral
University of Malaya Medical Centre,star,3,0.0,Neutral
University of Malaya Medical Centre,system,3,0.0,Neutral
University of Malaya Medical Centre,talking,3,0.0,Neutral
University of Malaya Medical Centre,thank,3,0.3612,Positive
University of Malaya Medical Centre,thinking,3,0.0,Neutral
University of Malaya Medical Centre,tht,3,0.0,Neutral
University of Malaya Medical Centre,treated,3,0.0,Neutral
University of Malaya Medical Centre,understand,3,0.0,Neutral
University of Malaya Medical Centre,vagainal,3,0.0,Neutral
University of Malaya Medical Centre,walk,3,0.0,Neutral
University of Malaya Medical Centre,wife,3,0.0,Neutral
University of Malaya Medical Centre,willing,3,0.0,Neutral
University of Malaya Medical Centre,without,3,0.0,Neutral
University of Malaya Medical Centre,year,3,0.0,Neutral
University of Malaya Medical Centre,you,3,0.0,Neutral
University of Malaya Medical Centre,young,3,0.0,Neutral
University of Malaya Medical Centre,10,2,0.0,Neutral
University of Malaya Medical Centre,194/94,2,0.0,Neutral
University of Malaya Medical Centre,3,2,0.0,Neutral
University of Malaya Medical Centre,30,2,0.0,Neutral
University of Malaya Medical Centre,7,2,0.0,Neutral
University of Malaya Medical Centre,8am,2,0.0,Neutral
University of Malaya Medical Centre,actual,2,0.0,Neutral
University of Malaya Medical Centre,aku,2,0.0,Neutral
University of Malaya Medical Centre,allow,2,0.2263,Neutral
University of Malaya Medical Centre,almost,2,0.0,Neutral
University of Malaya Medical Centre,am,2,0.0,Neutral
University of Malaya Medical Centre,another,2,0.0,Neutral
University of Malaya Medical Centre,answer,2,0.0,Neutral
University of Malaya Medical Centre,anymore,2,0.0,Neutral
University of Malaya Medical Centre,anything,2,0.0,Neutral
University of Malaya Medical Centre,attention,2,0.0,Neutral
University of Malaya Medical Centre,bout,2,0.0,Neutral
University of Malaya Medical Centre,case,2,0.0,Neutral
University of Malaya Medical Centre,center,2,0.0,Neutral
University of Malaya Medical Centre,check,2,0.0,Neutral
University of Malaya Medical Centre,clean,2,0.4019,Positive
University of Malaya Medical Centre,clear,2,0.3818,Positive
University of Malaya Medical Centre,condition,2,0.0,Neutral
University of Malaya Medical Centre,cost,2,0.0,Neutral
University of Malaya Medical Centre,crazy,2,-0.34,Negative
University of Malaya Medical Centre,dad,2,0.0,Neutral
University of Malaya Medical Centre,dan,2,0.0,Neutral
University of Malaya Medical Centre,different,2,0.0,Neutral
University of Malaya Medical Centre,doctors,2,0.0,Neutral
University of Malaya Medical Centre,dr,2,0.0,Neutral
University of Malaya Medical Centre,else,2,0.0,Neutral
University of Malaya Medical Centre,emergncy,2,0.0,Neutral
University of Malaya Medical Centre,exceptional,2,0.0,Neutral
University of Malaya Medical Centre,explain,2,0.0,Neutral
University of Malaya Medical Centre,floor,2,0.0,Neutral
University of Malaya Medical Centre,flow,2,0.0,Neutral
University of Malaya Medical Centre,found,2,0.0,Neutral
University of Malaya Medical Centre,frontdesk,2,0.0,Neutral
University of Malaya Medical Centre,gave,2,0.0,Neutral
University of Malaya Medical Centre,giving,2,0.34,Positive
University of Malaya Medical Centre,granny,2,0.0,Neutral
University of Malaya Medical Centre,handling,2,0.0,Neutral
University of Malaya Medical Centre,help,2,0.4019,Positive
University of Malaya Medical Centre,helpful,2,0.4215,Positive
University of Malaya Medical Centre,however,2,0.0,Neutral
University of Malaya Medical Centre,hypertension,2,0.0,Neutral
University of Malaya Medical Centre,impatient,2,-0.296,Neutral
University of Malaya Medical Centre,issue,2,0.0,Neutral
University of Malaya Medical Centre,job,2,0.0,Neutral
University of Malaya Medical Centre,keep,2,0.0,Neutral
University of Malaya Medical Centre,kid,2,0.0,Neutral
University of Malaya Medical Centre,lady,2,0.0,Neutral
University of Malaya Medical Centre,lagi,2,0.0,Neutral
University of Malaya Medical Centre,learn,2,0.0,Neutral
University of Malaya Medical Centre,least,2,0.0,Neutral
University of Malaya Medical Centre,leave,2,-0.0516,Neutral
University of Malaya Medical Centre,listen,2,0.0,Neutral
University of Malaya Medical Centre,looked,2,0.0,Neutral
University of Malaya Medical Centre,lot,2,0.0,Neutral
University of Malaya Medical Centre,morning,2,0.0,Neutral
University of Malaya Medical Centre,name,2,0.0,Neutral
University of Malaya Medical Centre,normal,2,0.0,Neutral
University of Malaya Medical Centre,nurses,2,0.0,Neutral
University of Malaya Medical Centre,observation,2,0.0,Neutral
University of Malaya Medical Centre,orange,2,0.0,Neutral
University of Malaya Medical Centre,pandemic,2,0.0,Neutral
University of Malaya Medical Centre,pay,2,-0.1027,Neutral
University of Malaya Medical Centre,per,2,0.0,Neutral
University of Malaya Medical Centre,place,2,0.0,Neutral
University of Malaya Medical Centre,politely,2,0.0,Neutral
University of Malaya Medical Centre,pray,2,0.3182,Positive
University of Malaya Medical Centre,procedure,2,0.0,Neutral
University of Malaya Medical Centre,professional,2,0.0,Neutral
University of Malaya Medical Centre,progress,2,0.4215,Positive
University of Malaya Medical Centre,provided,2,0.0,Neutral
University of Malaya Medical Centre,public,2,0.0,Neutral
University of Malaya Medical Centre,put,2,0.0,Neutral
University of Malaya Medical Centre,question,2,0.0,Neutral
University of Malaya Medical Centre,reasonable,2,0.0,Neutral
University of Malaya Medical Centre,respect,2,0.4767,Positive
University of Malaya Medical Centre,review,2,0.0,Neutral
University of Malaya Medical Centre,said,2,0.0,Neutral
University of Malaya Medical Centre,sakit,2,0.0,Neutral
University of Malaya Medical Centre,say,2,0.0,Neutral
University of Malaya Medical Centre,seriously,2,-0.1779,Neutral
University of Malaya Medical Centre,signage,2,0.0,Neutral
University of Malaya Medical Centre,since,2,0.0,Neutral
University of Malaya Medical Centre,slave,2,0.0,Neutral
University of Malaya Medical Centre,solution,2,0.3182,Positive
University of Malaya Medical Centre,son,2,0.0,Neutral
University of Malaya Medical Centre,stage,2,0.0,Neutral
University of Malaya Medical Centre,stay,2,0.0,Neutral
University of Malaya Medical Centre,stop,2,-0.296,Neutral
University of Malaya Medical Centre,sure,2,0.3182,Positive
University of Malaya Medical Centre,suruh,2,0.0,Neutral
University of Malaya Medical Centre,swab,2,0.0,Neutral
University of Malaya Medical Centre,tahan,2,0.0,Neutral
University of Malaya Medical Centre,taking,2,0.0,Neutral
University of Malaya Medical Centre,tax,2,0.0,Neutral
University of Malaya Medical Centre,thanks,2,0.4404,Positive
University of Malaya Medical Centre,that's,2,0.0,Neutral
University of Malaya Medical Centre,thing,2,0.0,Neutral
University of Malaya Medical Centre,today,2,0.0,Neutral
University of Malaya Medical Centre,told,2,0.0,Neutral
University of Malaya Medical Centre,tp,2,0.0,Neutral
University of Malaya Medical Centre,treatment,2,0.0,Neutral
University of Malaya Medical Centre,uncaring,2,0.0,Neutral
University of Malaya Medical Centre,updte,2,0.0,Neutral
University of Malaya Medical Centre,urine,2,0.0,Neutral
University of Malaya Medical Centre,vagaina,2,0.0,Neutral
University of Malaya Medical Centre,value,2,0.34,Positive
University of Malaya Medical Centre,waited,2,0.0,Neutral
University of Malaya Medical Centre,walkin,2,0.0,Neutral
University of Malaya Medical Centre,warded,2,0.0,Neutral
University of Malaya Medical Centre,worse,2,-0.4767,Negative
University of Malaya Medical Centre,x,2,0.0,Neutral
University of Malaya Medical Centre,zero,2,0.0,Neutral
University of Malaya Medical Centre,'all,1,0.0,Neutral
University of Malaya Medical Centre,'government,1,0.0,Neutral
University of Malaya Medical Centre,07,1,0.0,Neutral
University of Malaya Medical Centre,0726hrs,1,0.0,Neutral
University of Malaya Medical Centre,1000%,1,0.0,Neutral
University of Malaya Medical Centre,11am-4pm,1,0.0,Neutral
University of Malaya Medical Centre,13,1,0.0,Neutral
University of Malaya Medical Centre,14,1,0.0,Neutral
University of Malaya Medical Centre,1am,1,0.0,Neutral
University of Malaya Medical Centre,1pm-2pm,1,0.0,Neutral
University of Malaya Medical Centre,1star,1,0.0,Neutral
University of Malaya Medical Centre,2008,1,0.0,Neutral
